,prd_name,price,sale_price
36,NACIFIC Real Calendula Floral Toner 180ml,USD 26.00,USD 14.17
37,CARYOPHY Portulaca Toner 300ml,USD 24.00,USD 20.40
38,KEEP COOL Soothe Fixence Mist 60ml,USD 10.00,USD 8.50
39,NEOGEN DERMALOGY Real Cica Pad 90ea,USD 17.90,USD 14.32
40,MAMONDE Rose Water Toner 250ml,USD 18.48,USD 15.71
41,heimish Bulgarian Rose Mist Serum 55ml,USD 24.00,USD 20.40
42,BLITHE Vital Treatment 5 Energy Roots 150ml,USD 37.60,USD 31.96
43,Elizavecca Hell-Pore Perfect Wine Sparkling Peeling Pad 30ea,USD 20.00,USD 17.00
44,so natural Yellow Cica Toner 260ml,USD 28.00,USD 23.80
45,so natural Vegan Make up Calm Fixx 100ml,USD 21.00,USD 17.85
46,so natural SO Vegan Noni Toner 150ml,USD 22.50,USD 19.12
47,B_LAB Matcha Hydrating Facial Toner 150ml,USD 17.00,USD 14.45
48,META FORET 12PM Calming Toner 150ml,USD 13.20,USD 11.22
49,LOOKS&MEII Rich Routine Balance Toner 150ml,USD 21.00,USD 17.85
50,LOOKS&MEII Fresh Routine Balance Toner 150ml,USD 21.00,USD 17.85
51,MISSHA Time Revolution Best Seller Special Set,USD 54.99,USD 32.94
52,Dr.Ceuracle Pro Balance Biotics Toner 300ml,USD 30.00,USD 25.50
53,Dr.Ceuracle Cica Regen 92 Toner 120ml,USD 25.00,USD 21.25
54,MANYO FACTORY Bifida Cica Herb Toner 210ml,USD 19.00,USD 13.30
55,MANYO FACTORY Galac Whitening Vita Toner 210ml,USD 19.00,USD 13.30
56,SOME BY MI Propolis B5 Glow Barrier Calming Toner 150ml,USD 22.00,USD 18.70
57,banila co. Dear Hydration Toner 280ml,USD 24.00,USD 20.40
58,SKIN1004 Madagascar Centella Tone Brightening Boosting Toner 210ml,USD 24.00,USD 20.40
59,Beauty of Joseon Green Plum + AHA Bubble Toner 150ml,USD 22.00,USD 14.30
60,Pyunkang Yul Calming Deep Moisture Toner 150ml,USD 15.00,USD 12.75
61,innisfree Forest For Men Premium Skin Care Duo Set,USD 58.00,USD 49.30
62,innisfree Green Tea Balancing Skin Care Set EX,USD 42.00,USD 35.70
63,innisfree Black Tea Youth Enhancing Skin 150ml,USD 28.00,USD 23.80
64,Haruharu WONDER Black Rice Hyaluronic Toner 150ml (Fragrance Free),USD 22.00,USD 15.40
65,Dr.G Red Blemish Clear Soothing Toner 200ml,USD 23.00,USD 19.55
66,Huxley Hydration Trio Set,USD 82.00,USD 69.70
67,Huxley Essential Mist Sense Of Balance 35ml,USD 21.00,USD 17.85
68,Huxley Oil Mist Sense Of Balance 35ml,USD 21.00,USD 17.85
69,Huxley Antioxidant Trio Set,USD 82.00,USD 69.70
70,Huxley Extra Moisture Trio Set,USD 84.00,USD 71.40
71,Huxley Brightening Trio Set,USD 85.00,USD 72.25
72,O HUI Extreme White 2pcs Special Set,USD 100.00,USD 85.00
73,su:m37 Waterfull Special Set,USD 110.00,USD 93.50
74,AXIS-Y The Mini Glow Set,USD 9.90,USD 8.41
75,AXIS-Y My Self Care Set Limited Edition,USD 32.00,USD 27.20
76,AXIS-Y Daily Purifying Treatment Toner 200ml,USD 25.00,USD 21.25
77,MISSHA Super Aqua Ultra Hyalron Toner Pads 90pcs,USD 26.16,USD 14.99
78,MISSHA Super Aqua Ultra Hyalron Skin Essence 200ml (Renewal),USD 23.16,USD 13.99
79,ONE THING Brassica Oleracea Italica Extract 300ml,USD 30.58,USD 15.29
80,ONE THING Citrus Unshiu Fruit Extract 300ml,USD 30.58,USD 15.29
81,ONE THING Calendula Officinalis Flower Extract 300ml,USD 30.58,USD 15.29
82,ONE THING Houttuynia Cordata Extract 300ml,USD 30.58,USD 15.29
83,ONE THING Camellia Sinensis Leaf Extract 300ml,USD 30.58,USD 15.29
84,ONE THING Artemisia Capillaris Extract 300ml,USD 30.58,USD 15.29
85,ONE THING COIX LACRYMA-JOBIMA-YUEN SEED EXTRACT 300ml,USD 30.58,USD 15.29
86,ONE THING Propolis + Honey Extract 300ml,USD 30.58,USD 15.29
87,ONE THING Centella Asiatica Extract 300ml,USD 30.58,USD 15.29
88,ONE THING Galactomyces Ferment Filtrate 150ml,USD 33.00,USD 19.80
89,ONE THING Artemisia Capillaris Extract 150ml,USD 20.54,USD 12.32
90,ONE THING Centella Asiatica Extract 150ml,USD 20.54,USD 12.32
91,ONE THING Houttuynia Cordata Extract 150ml,USD 20.54,USD 12.32
92,ONE THING Citrus Unshiu Fruit Extract 150ml,USD 20.54,USD 12.32
93,ONE THING Brassica Oleracea Italica Extract 150ml,USD 18.96,USD 12.32
94,ONE THING Hyaluronic Acid Complex 150ml,USD 23.52,USD 15.29
95,ONE THING Calendula Officinalis Flower Extract 150ml,USD 18.96,USD 12.32
